# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# df_dts = 0.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 5.000000e-01
# l_fin_over_lb = 1.000000e+03
# stop_reason = 2
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
0.00000000e+00,5.00000000e-01,8.41988576e-11,3.81928114e+00,1.00000000e+00
2.96916103e-07,5.00000250e-01,8.41988799e-11,3.81928225e+00,1.00000000e+00
5.93832127e-07,5.00000500e-01,8.41989023e-11,3.81928336e+00,1.00000000e+00
8.90748073e-07,5.00000750e-01,8.41989246e-11,3.81928447e+00,1.00000000e+00
1.18766394e-06,5.00001000e-01,8.41989469e-11,3.81928558e+00,1.00000000e+00
2.67224209e-06,5.00002250e-01,8.41990585e-11,3.81929113e+00,1.00000000e+00
4.15681828e-06,5.00003500e-01,8.41991701e-11,3.81929668e+00,1.00000000e+00
5.64139250e-06,5.00004750e-01,8.41992817e-11,3.81930224e+00,1.00000000e+00
7.12596475e-06,5.00006000e-01,8.41993933e-11,3.81930779e+00,1.00000000e+00
1.45487965e-05,5.00012250e-01,8.41999514e-11,3.81933555e+00,1.00000000e+00
2.19715790e-05,5.00018500e-01,8.42005094e-11,3.81936331e+00,1.00000000e+00
2.93943124e-05,5.00024750e-01,8.42010675e-11,3.81939107e+00,1.00000000e+00
3.68169965e-05,5.00031000e-01,8.42016255e-11,3.81941883e+00,1.00000000e+00
7.39296793e-05,5.00062250e-01,8.42044160e-11,3.81955765e+00,1.00000000e+00
1.11041132e-04,5.00093500e-01,8.42072067e-11,3.81969648e+00,1.00000000e+00
1.48151355e-04,5.00124750e-01,8.42099977e-11,3.81983533e+00,1.00000000e+00
1.85260348e-04,5.00156000e-01,8.42127889e-11,3.81997418e+00,1.00000000e+00
3.70786863e-04,5.00312250e-01,8.42267484e-11,3.82066864e+00,1.00000000e+00
5.56282625e-04,5.00468500e-01,8.42407138e-11,3.82136341e+00,1.00000000e+00
7.41747631e-04,5.00624750e-01,8.42546853e-11,3.82205848e+00,1.00000000e+00
